nickname,type,obj,survey,ra_deg,dec_deg,host_z_spec,sheet_zphot,internal_flags,exists,best_z,best_z_source,foreground_verdict,ned_sep_as,ned_name,ned_type,ned_z,lsdr9_sep_as,lsdr9_type,lsdr9_zphot,lsdr9_zphot_std,lsdr9_zspec,desi_sep_as,desi_specz,desi_zerr,desi_spectype,simbad_sep_as,simbad_otype,simbad_z
phineas,halo,194051777813062524,"WISE, PS1, STRM",177.7811322,71.70977418,0.271,0.10554664,,True,0.1096068304867437,desi_specz,confirmed,0.13,WISEA J115107.45+714235.2,IrS,,0.01,DEV,0.11992800235748291,0.02372800000011921,,0.07,0.1096068304867437,4.290510354694542e-05,GALAXY,,,
phineas,cluster,"J115120.4+714435, 1254337","DESI, WISE (Wen et al. 2024)",177.83488,71.74319,0.271,0.1938,,True,0.2000304441831005,desi_specz,confirmed,0.23,WISEA J115120.33+714435.3,G,0.205886,0.02,SER,0.19858799874782562,0.009446999989449978,,17.01,0.2000304441831005,0.0001008145572217087,GALAXY,0.94,G,
phineas,cluster,"J115128.2+713637, 1254415","DESI, WISE (Wen et al. 2024)",177.86761,71.61024,0.271,0.1897,IMPACT_GT_R500,True,0.1915992539483878,desi_specz,confirmed,0.14,WISEA J115128.25+713636.9,G,0.1903,0.02,DEV,0.18651700019836426,0.006136999931186438,,24.45,0.1915992539483878,7.63714037739639e-05,GALAXY,1.08,G,
phineas,cluster,"J114944.0+714348, 1253496","DESI, WISE (Wen et al. 2024)",177.4332,71.7301,0.271,0.2309,IMPACT_GT_R500,True,0.2440166613482867,desi_specz,confirmed,0.08,WISEA J114943.97+714348.4,IrS,,0.01,SER,0.23776499927043915,0.008627000264823437,,0.05,0.2440166613482867,4.155026838108388e-05,GALAXY,,,
phineas,cluster,"J115140.5+712732, 1254506","DESI, WISE (Wen et al. 2024)",177.91873,71.45892,0.271,0.1322,IMPACT_GT_R500,True,0.1758073840466206,desi_specz,confirmed,0.59,WISEA J115140.37+712732.0,G,0.174756,0.0,REX,0.13959500193595886,0.018177999183535576,,0.03,0.1758073840466206,6.724733556395304e-05,GALAXY,1.41,G,
phineas,cluster,"J115400.9+713320, 1255773","DESI, WISE (Wen et al. 2024)",178.50381,71.55566,0.271,0.1832,IMPACT_GT_R500,True,0.1549452747807319,desi_specz,confirmed,0.07,WISEA J115400.92+713320.3,G,,0.01,SER,0.15675699710845947,0.0045819999650120735,,27.58,0.1549452747807319,2.772212691424698e-05,GALAXY,0.63,G,
phineas,cluster,"J115031.4+715735, 1253898","DESI, WISE (Wen et al. 2024)",177.63068,71.95965,0.271,0.2841,ZPHOT_GE_ZHOST|IMPACT_GT_R500,True,0.2695769281733815,desi_specz,confirmed,0.23,WHL J115031.3+715735,GClstr,0.2761,0.02,SER,0.28383100032806396,0.012389999814331532,,37.17,0.2695769281733815,7.944948537204203e-05,GALAXY,,,
phineas,cluster,"J115436.9+713930, 1256077","DESI, WISE (Wen et al. 2024)",178.65378,71.65822,0.271,0.2472,IMPACT_GT_R500,True,0.2627751291890956,desi_specz,confirmed,0.24,WISEA J115436.88+713929.3,IrS,,0.01,SER,0.24721799790859222,0.009457999840378761,,41.59,0.2627751291890956,5.423695612722966e-05,GALAXY,,,
phineas,cluster,"J114928.5+712526, 1253366","DESI, WISE (Wen et al. 2024)",177.36887,71.42403,0.271,0.1574,IMPACT_GT_R500,True,-0.0001092461529989764,desi_specz,confirmed,0.11,WISEA J114928.51+712526.4,G,0.145125,0.01,DEV,0.15589599311351776,0.005911000072956085,,32.9,-0.0001092461529989764,3.396216537783021e-06,STAR,0.01,G,
freya,halo,197030881733398302,"WISE, PS1, STRM",88.1729787,74.19784041,,0.20186801,HOST_Z_UNKNOWN,True,,none,inconclusive,0.28,WISEA J055241.46+741152.0,IrS,,,,,,,,,,,,,
freya,halo,197040882212782495,"WISE, PS1, STRM",88.22143337,74.20135627,,0.64352965,HOST_Z_UNKNOWN,True,,none,inconclusive,0.21,WISEA J055253.09+741204.9,IrS,,,,,,,,,,,,,
hamilton,halo,192943050854547067,"WISE, PS1, STRM",305.0853736,70.78860842,0.3024,0.21027125,,True,,none,inconclusive,0.48,WISEA J202020.43+704718.5,IrS,,,,,,,,,,,,,
hamilton,halo,192963050359413614,"WISE, PS1, STRM",305.0361763,70.80240538,0.3024,0.24035172,,True,,none,inconclusive,0.31,WISEA J202008.74+704808.5,IrS,,,,,,,,,,,,,
chromatica,halo,196673126794497004,"WISE, PS1, STRM",312.6793509,73.89686576,0.074,0.09462511,ZPHOT_GE_ZHOST,True,,none,inconclusive,0.3,WISEA J205043.10+735348.5,IrS,,,,,,,,,,,,,
chromatica,halo,196723126173351736,"WISE, PS1, STRM",312.6173096,73.93405297,0.074,0.041308902,,True,,none,inconclusive,1.29,WISEA J205028.13+735603.8,IrS,,,,,,,,,,,,,
chromatica,halo,196733128040225775,"WISE, PS1, STRM",312.8039777,73.94584168,0.074,0.045353893,,True,0.054338,ned_z,confirmed,0.04,WISEA J205112.95+735644.9,G,0.054338,,,,,,,,,,,,
