nickname,tns,host_z_spec,type,tag,obj,obj_class,survey,ra_deg,dec_deg,z_phot,impact_kpc_listed,prob_gal,prob_star,prob_qso,r500_mpc,lam500_richness,m500_1e14msun,n_galaxies,sep_arcsec,impact_kpc_recomp_zphot,impact_kpc_recomp_zhost,impact_ratio_zphot,b_over_r500,flags,notes
phineas,FRB 20230307A,0.271,cluster,IGC,"J115128.2+713637, 1254415",,"DESI, WISE (Wen et al. 2024)",177.86761,71.61024,0.1897,1054.68,,,,0.841,41.57,1.86,32.0,322.6069192304752,1054.684697047519,1380.8247361563178,1.0000044535285764,1.2540784780023781,IMPACT_GT_R500,
phineas,FRB 20230307A,0.271,cluster,IGC,"J114944.0+714348, 1253496",,"DESI, WISE (Wen et al. 2024)",177.4332,71.7301,0.2309,1569.18,,,,0.531,11.21,0.52,6.0,412.3571165839331,1569.1798555508067,1764.974254325917,0.9999999079460652,2.955141242937853,IMPACT_GT_R500,
phineas,FRB 20230307A,0.271,cluster,IGC,"J115140.5+712732, 1254506",,"DESI, WISE (Wen et al. 2024)",177.91873,71.45892,0.1322,2104.65,,,,0.633,20.42,0.93,11.0,866.4050829673679,2104.645883756824,3708.39402002477,0.9999980442148689,3.324881516587678,IMPACT_GT_R500,
phineas,FRB 20230307A,0.271,cluster,IGC,"J115400.9+713320, 1255773",,"DESI, WISE (Wen et al. 2024)",178.50381,71.55566,0.1832,3060.14,,,,0.563,10.87,0.51,6.0,962.3469247109477,3060.137554586653,4119.045064422504,0.9999992008818724,5.435417406749556,IMPACT_GT_R500,
phineas,FRB 20230307A,0.271,cluster,IGC,"J115031.4+715735, 1253898",,"DESI, WISE (Wen et al. 2024)",177.63068,71.95965,0.2841,4272.76,,,,0.698,27.48,1.25,16.0,965.3731813787737,4272.761624341149,4131.998072606147,1.0000003801620378,6.121432664756448,ZPHOT_GE_ZHOST|IMPACT_GT_R500,
phineas,FRB 20230307A,0.271,cluster,IGC,"J115436.9+713930, 1256077",,"DESI, WISE (Wen et al. 2024)",178.65378,71.65822,0.2472,3989.83,,,,0.56,10.09,0.47,9.0,996.5282613117249,3989.8297224295293,4265.3482968696635,0.9999999304305018,7.124696428571428,IMPACT_GT_R500,
phineas,FRB 20230307A,0.271,cluster,IGC,"J114928.5+712526, 1253366",,"DESI, WISE (Wen et al. 2024)",177.36887,71.42403,0.1574,3049.59,,,,0.771,33.42,1.51,27.0,1084.7435359029168,3049.5923609233296,4642.928026259526,1.0000007741772925,3.955369649805448,IMPACT_GT_R500,
freya,FRB 20230325A,,halo,IGH,197030881733398302,GALAXY,"WISE, PS1, STRM",88.1729787,74.19784041,0.20186801,60.11015996,0.93442523,0.045681626,0.019893192,,,,,17.509588447776558,60.11015980821175,,0.999999997474832,,HOST_Z_UNKNOWN,
freya,FRB 20230325A,,halo,IGH,197040882212782495,GALAXY,"WISE, PS1, STRM",88.22143337,74.20135627,0.64352965,233.8911738,0.99958915,0.00017510756,0.00023575165,,,,,32.92401936119367,233.89117386092045,,1.000000000260465,,HOST_Z_UNKNOWN,
hamilton,FRB 20230913A,0.3024,halo,IGH,192943050854547067,GALAXY,"WISE, PS1, STRM",305.0853736,70.78860842,0.21027125,209.1635874,0.83771545,0.004704359,0.15758017,,,,,59.029458111897924,209.1635467346707,272.86198652457756,0.9999998055812208,,,
hamilton,FRB 20230913A,0.3024,halo,IGH,192963050359413614,GALAXY,"WISE, PS1, STRM",305.0361763,70.80240538,0.24035172,136.1447141,0.98747444,0.00034273998,0.012182749,,,,,34.71917704943187,136.1447105090642,160.48840567447155,0.9999999736241263,,,
chromatica,FRB 20240203A,0.074,halo,IGH,196673126794497004,GALAXY,"WISE, PS1, STRM",312.6793509,73.89686576,0.09462511,111.0598602,0.93143016,0.014137173,0.054432653,,,,,61.18064430895521,111.05989579878555,88.96863875835429,1.0000003205369201,,ZPHOT_GE_ZHOST,
chromatica,FRB 20240203A,0.074,halo,IGH,196723126173351736,GALAXY,"WISE, PS1, STRM",312.6173096,73.93405297,0.041308902,103.464688,0.9897199,7.63e-05,0.01020368,,,,,122.60406069102878,103.46468849280727,178.29031565675837,1.000000004763048,,,
chromatica,FRB 20240203A,0.074,halo,IGH,196733128040225775,GALAXY,"WISE, PS1, STRM",312.8039777,73.94584168,0.045353893,228.0968735,0.98085344,0.00846597,0.010680515,,,,,247.3805820591035,228.09684605925324,359.7398146038526,0.9999998796969624,,,
casey,FRB 20240229A,0.287,halo,IGH,192821699728654764,GALAXY,"WISE, PS1, STRM",169.9727442,70.68666126,0.36087847,206.4431166,0.9912005,0.004339937,0.004459632,,,,,39.71975648666451,206.4431826823534,177.05907062664903,1.0000003200995726,,ZPHOT_GE_ZHOST,
casey,FRB 20240229A,0.287,halo,IGH,192821700026167542,GALAXY,"WISE, PS1, STRM",170.002558,70.68897047,0.19447789,170.6291817,0.9997733,2.78e-05,0.00019878693,,,,,51.17696930391587,170.6291821864019,228.13197823813803,1.000000002850637,,,
casey,FRB 20240229A,0.287,halo,IGH,192831699797402822,GALAXY,"WISE, PS1, STRM",169.9798302,70.69339484,0.2116047,220.6890024,0.9619372,0.03693044,0.0011323288,,,,,61.97920006151269,220.68902879006683,276.2851671751559,1.000000119580344,,,
casey,FRB 20240229A,0.287,halo,IGH,660,REX,Legacy DR8 (Zhou et al. 2021),169.9853195,70.67629673,0.4209753,12.19643572,,,,,,,,2.134740558276334,12.195961377141522,9.516049762397781,0.9999611080753945,,ZPHOT_GE_ZHOST,
casey,FRB 20240229A,0.287,halo,IGH,795,REX,Legacy DR8 (Zhou et al. 2021),169.97277,70.68665467,0.416788,225.4015286,,,,,,,,39.68736889694055,225.401593073108,176.91469621342,1.0000002860366937,,ZPHOT_GE_ZHOST,
casey,FRB 20240229A,0.287,halo,IGH,796,REX,Legacy DR8 (Zhou et al. 2021),169.976151,70.6861149,0.42996007,212.1957134,,,,,,,,36.685265691267595,212.1958526150396,163.53219716158927,1.0000006560690478,,ZPHOT_GE_ZHOST,
casey,FRB 20240229A,0.287,halo,IGH,827,DEV,Legacy DR8 (Zhou et al. 2021),169.97983,70.69339832,0.23264669,237.2425517,,,,,,,,61.99171312917169,237.24258176289968,276.3409467751928,1.0000001267179917,,,
casey,FRB 20240229A,0.287,halo,IGH,824,DEV,Legacy DR8 (Zhou et al. 2021),170.0025556,70.68896879,0.20569403,178.2523414,,,,,,,,51.170281349789946,178.25241121426495,228.10216529247387,1.0000003916597358,,,
casey,FRB 20240229A,0.287,halo,IGH,825,EXP,Legacy DR8 (Zhou et al. 2021),170.0000823,70.69033887,0.35723287,281.4493621,,,,,,,,54.503654623462864,281.4494430605704,242.96136952970005,1.000000287655903,,ZPHOT_GE_ZHOST,
casey,FRB 20240229A,0.287,cluster,IGC,"J111929.5+705441, 1237905",,"DESI, WISE (Wen et al. 2024)",169.87289,70.91131,0.2192,3133.0,,,,0.766,39.61,1.78,22.0,856.4009619125778,3132.9950864595153,3817.585297908829,0.9999984316819391,4.090078328981723,IMPACT_GT_R500,
casey,FRB 20240229A,0.287,cluster,IGC,"J112235.5+705438, 1239515",,"DESI, WISE (Wen et al. 2024)",170.6479,70.91058,0.2236,4284.68,,,,0.543,19.39,0.89,13.0,1153.623239076787,4284.675101521668,5142.515378532555,0.9999988567458171,7.890755064456722,IMPACT_GT_R500,
casey,FRB 20240229A,0.287,cluster,IGC,"J112350.9+704142, 1240175",,"DESI, WISE (Wen et al. 2024)",170.96191,70.69499,0.2191,4267.39,,,,0.848,46.86,2.09,31.0,1166.8932726123442,4267.390682038764,5201.669311306011,1.0000001598257398,5.032299528301887,IMPACT_GT_R500,
casey,FRB 20240229A,0.287,cluster,IGC,"J111930.9+702041, 1237924",,"DESI, WISE (Wen et al. 2024)",169.87859,70.34475,0.1825,3804.0,,,,0.602,13.46,0.62,7.0,1199.9390889789463,3804.0011671153447,5348.977906612579,1.0000003068126564,6.318936877076412,IMPACT_GT_R500,
