nickname,type,obj,survey,ra_deg,dec_deg,host_z_spec,sheet_zphot,internal_flags,exists,best_z,best_z_source,foreground_verdict,strm_class,strm_zphot,strm_zphoterr,strm_extrapolated,sheet_vs_strm_zphot_diff,strm_verdict,final_verdict,final_reason
phineas,cluster,"J115031.4+715735, 1253898","DESI, WISE (Wen et al. 2024)",177.63068,71.95965,0.271,0.2841,ZPHOT_GE_ZHOST|IMPACT_GT_R500,True,0.2695769281733815,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
phineas,cluster,"J115436.9+713930, 1256077","DESI, WISE (Wen et al. 2024)",178.65378,71.65822,0.271,0.2472,IMPACT_GT_R500,True,0.2627751291890956,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
phineas,cluster,"J114928.5+712526, 1253366","DESI, WISE (Wen et al. 2024)",177.36887,71.42403,0.271,0.1574,IMPACT_GT_R500,True,-0.0001092461529989,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
freya,halo,197030881733398302,"WISE, PS1, STRM",88.1729787,74.19784041,,0.20186801,HOST_Z_UNKNOWN,True,,none,inconclusive,GALAXY,0.304726094007492,0.0679859101610106,0.0,0.103,inconclusive-host-z-unknown,inconclusive,inconclusive-host-z-unknown
freya,halo,197040882212782495,"WISE, PS1, STRM",88.22143337,74.20135627,,0.64352965,HOST_Z_UNKNOWN,True,,none,inconclusive,GALAXY,0.6175214052200317,0.1255208599054298,0.0,0.026,inconclusive-host-z-unknown,inconclusive,inconclusive-host-z-unknown
hamilton,halo,192943050854547067,"WISE, PS1, STRM",305.0853736,70.78860842,0.3024,0.21027125,,True,,none,inconclusive,UNSURE,,,,,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.61)",inconclusive,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.61)"
hamilton,halo,192963050359413614,"WISE, PS1, STRM",305.0361763,70.80240538,0.3024,0.24035172,,True,,none,inconclusive,GALAXY,0.3078607320785522,0.072703116871661,0.0,0.068,inconclusive-borderline (within 1 sigma of host),inconclusive,inconclusive-borderline (within 1 sigma of host)
chromatica,halo,196673126794497004,"WISE, PS1, STRM",312.6793509,73.89686576,0.074,0.09462511,ZPHOT_GE_ZHOST,True,,none,inconclusive,UNSURE,,,,,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.69)",inconclusive,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.69)"
chromatica,halo,196723126173351736,"WISE, PS1, STRM",312.6173096,73.93405297,0.074,0.041308902,,True,,none,inconclusive,GALAXY,0.4751024544239044,0.0438235649455888,1.0,0.434,inconclusive-extrapolated-photoz (STRM photo-z outside training coverage),inconclusive,inconclusive-extrapolated-photoz (STRM photo-z outside training coverage)
chromatica,halo,196733128040225775,"WISE, PS1, STRM",312.8039777,73.94584168,0.074,0.045353893,,True,0.054338,ned_z,confirmed,,,,,,,confirmed,ned_z vs host z
casey,halo,192821699728654764,"WISE, PS1, STRM",169.9727442,70.68666126,0.287,0.36087847,ZPHOT_GE_ZHOST,True,0.374673992395401,lsdr9_zphot,refuted,,,,,,,refuted,lsdr9_zphot vs host z
casey,halo,192821700026167542,"WISE, PS1, STRM",170.002558,70.68897047,0.287,0.19447789,,True,0.202814403668982,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
casey,halo,192831699797402822,"WISE, PS1, STRM",169.9798302,70.69339484,0.287,0.2116047,,True,0.2397519946098327,lsdr9_zphot,confirmed,,,,,,,confirmed,lsdr9_zphot vs host z
casey,halo,660,Legacy DR8 (Zhou et al. 2021),169.9853195,70.67629673,0.287,0.4209753,ZPHOT_GE_ZHOST,True,0.3727380037307739,lsdr9_zphot,refuted,,,,,,,refuted,lsdr9_zphot vs host z
casey,halo,795,Legacy DR8 (Zhou et al. 2021),169.97277,70.68665467,0.287,0.416788,ZPHOT_GE_ZHOST,True,0.374673992395401,lsdr9_zphot,refuted,,,,,,,refuted,lsdr9_zphot vs host z
casey,halo,796,Legacy DR8 (Zhou et al. 2021),169.976151,70.6861149,0.287,0.42996007,ZPHOT_GE_ZHOST,True,0.421671986579895,lsdr9_zphot,refuted,,,,,,,refuted,lsdr9_zphot vs host z
casey,halo,827,Legacy DR8 (Zhou et al. 2021),169.97983,70.69339832,0.287,0.23264669,,True,0.2397519946098327,lsdr9_zphot,confirmed,,,,,,,confirmed,lsdr9_zphot vs host z
casey,halo,824,Legacy DR8 (Zhou et al. 2021),170.0025556,70.68896879,0.287,0.20569403,,True,0.202814403668982,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
casey,halo,825,Legacy DR8 (Zhou et al. 2021),170.0000823,70.69033887,0.287,0.35723287,ZPHOT_GE_ZHOST,True,0.3482950031757355,lsdr9_zphot,inconclusive,,,,,,,inconclusive,photo-z within 1sigma of host (Legacy/Zhou DR9)
casey,cluster,"J111929.5+705441, 1237905","DESI, WISE (Wen et al. 2024)",169.87289,70.91131,0.287,0.2192,IMPACT_GT_R500,True,0.2161681592953575,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
casey,cluster,"J112235.5+705438, 1239515","DESI, WISE (Wen et al. 2024)",170.6479,70.91058,0.287,0.2236,IMPACT_GT_R500,True,0.2158435784763192,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
casey,cluster,"J112350.9+704142, 1240175","DESI, WISE (Wen et al. 2024)",170.96191,70.69499,0.287,0.2191,IMPACT_GT_R500,True,0.2132708317633555,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
casey,cluster,"J111930.9+702041, 1237924","DESI, WISE (Wen et al. 2024)",169.87859,70.34475,0.287,0.1825,IMPACT_GT_R500,True,0.0907331884526882,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
