burst,tns,mjd,host_z,type,obj_id,survey,ra_deg,dec_deg,impact_kpc,b_over_r500,redshift,redshift_err,redshift_source,classification,verdict,reason,sheet_zphot
phineas,FRB 20230307A,60010.3788577185,0.271,halo,953,Legacy/Zhou21,177.8314024,71.69336919,242.7,,0.1991,0.0,DESI spec,REX,confirmed,DESI spec < host,0.26768085
freya,FRB 20230325A,60028.0716905725,,halo,197030881733398302,WISE/PS1/STRM,88.1729787,74.19784041,60.1,,0.3047,0.068,PS1-STRM phot,GALAXY,inconclusive,host z unknown,0.20186801
freya,FRB 20230325A,60028.0716905725,,halo,197040882212782495,WISE/PS1/STRM,88.22143337,74.20135627,233.9,,0.6175,0.1255,PS1-STRM phot,GALAXY,inconclusive,host z unknown,0.64352965
hamilton,FRB 20230913A,60170.3609267555,0.3024,halo,192963050359413614,WISE/PS1/STRM,305.0361763,70.80240538,136.1,,0.3079,0.0727,PS1-STRM phot,GALAXY,inconclusive,within 1σ of host,0.24035172
hamilton,FRB 20230913A,60170.3609267555,0.3024,halo,192943050854547067,WISE/PS1/STRM,305.0853736,70.78860842,209.2,,,,PS1-STRM,UNSURE,inconclusive,not a galaxy (STRM UNSURE),0.21027125
chromatica,FRB 20240203A,60331.1042800127,0.074,halo,196723126173351736,WISE/PS1/STRM,312.6173096,73.93405297,103.5,,0.4751,0.0438,PS1-STRM phot,GALAXY,inconclusive,photo-z extrapolated,0.041308902
chromatica,FRB 20240203A,60331.1042800127,0.074,halo,196673126794497004,WISE/PS1/STRM,312.6793509,73.89686576,111.1,,,,PS1-STRM,UNSURE,inconclusive,not a galaxy (STRM UNSURE),0.09462511
chromatica,FRB 20240203A,60331.1042800127,0.074,halo,196733128040225775,WISE/PS1/STRM,312.8039777,73.94584168,228.1,,0.0543,,NED,galaxy,confirmed,NED < host,0.045353893
casey,FRB 20240229A,60343.8318219485,0.287,cluster,"J111929.5+705441, 1237905",DESI/WISE (Wen+),169.87289,70.91131,3133.0,4.09,0.2162,0.0001,DESI spec,cluster,confirmed,DESI spec < host,0.2192
casey,FRB 20240229A,60343.8318219485,0.287,cluster,"J111930.9+702041, 1237924",DESI/WISE (Wen+),169.87859,70.34475,3804.0,6.32,0.0907,0.0,DESI spec,cluster,confirmed,DESI spec < host,0.1825
casey,FRB 20240229A,60343.8318219485,0.287,cluster,"J112350.9+704142, 1240175",DESI/WISE (Wen+),170.96191,70.69499,4267.4,5.03,0.2133,0.0,DESI spec,cluster,confirmed,DESI spec < host,0.2191
casey,FRB 20240229A,60343.8318219485,0.287,cluster,"J112235.5+705438, 1239515",DESI/WISE (Wen+),170.6479,70.91058,4284.7,7.89,0.2158,0.0,DESI spec,cluster,confirmed,DESI spec < host,0.2236
casey,FRB 20240229A,60343.8318219485,0.287,halo,660,Legacy/Zhou21,169.9853195,70.67629673,12.2,,0.3727,0.067,LS/Zhou phot,REX,refuted,LS/Zhou phot > host,0.4209753
casey,FRB 20240229A,60343.8318219485,0.287,halo,192821700026167542,WISE/PS1/STRM,170.002558,70.68897047,170.6,,0.2028,0.0001,DESI spec,SER,confirmed,DESI spec < host,0.19447789
casey,FRB 20240229A,60343.8318219485,0.287,halo,824,Legacy/Zhou21,170.0025556,70.68896879,178.3,,0.2028,0.0001,DESI spec,SER,confirmed,DESI spec < host,0.20569403
casey,FRB 20240229A,60343.8318219485,0.287,halo,192821699728654764,WISE/PS1/STRM,169.9727442,70.68666126,206.4,,0.3747,0.0491,LS/Zhou phot,REX,refuted,LS/Zhou phot > host,0.36087847
casey,FRB 20240229A,60343.8318219485,0.287,halo,796,Legacy/Zhou21,169.976151,70.6861149,212.2,,0.4217,0.0953,LS/Zhou phot,REX,refuted,LS/Zhou phot > host,0.42996007
casey,FRB 20240229A,60343.8318219485,0.287,halo,192831699797402822,WISE/PS1/STRM,169.9798302,70.69339484,220.7,,0.2398,0.012,LS/Zhou phot,SER,confirmed,LS/Zhou phot < host,0.2116047
casey,FRB 20240229A,60343.8318219485,0.287,halo,795,Legacy/Zhou21,169.97277,70.68665467,225.4,,0.3747,0.0491,LS/Zhou phot,REX,refuted,LS/Zhou phot > host,0.416788
casey,FRB 20240229A,60343.8318219485,0.287,halo,827,Legacy/Zhou21,169.97983,70.69339832,237.2,,0.2398,0.012,LS/Zhou phot,SER,confirmed,LS/Zhou phot < host,0.23264669
casey,FRB 20240229A,60343.8318219485,0.287,halo,825,Legacy/Zhou21,170.0000823,70.69033887,281.4,,0.3483,0.2031,LS/Zhou phot,REX,inconclusive,within 1σ of host,0.35723287
