nickname,type,obj,tns,host_z_spec,survey,ra_deg,dec_deg,impact_kpc,b_over_r500,m500_1e14msun,r500_mpc,best_z,best_z_err,best_z_source,classification,final_verdict,final_reason,registry_tier,budget_eligible,provenance_scratch_final,provenance_scratch_geometry,provenance_scratch_validation
isha,halo,WISEA J044538.83+701843.3,FRB 20221113A,0.2505,GLADE+/NED/PS1,71.411807,70.312048,16.2,,,,,,none,galaxy candidate,inconclusive,No trustworthy redshift: GLADE+ distance-flagged photo-z 0.04749; NED infrared source has no redshift,,false,v4-extension-2026-07-15,legacy discovery isha_galaxies.csv,NED+PS1 manual adjudication
oran,halo,WISEA J211150.32+724807.8,FRB 20220506D,0.3005,GLADE+/NED/PS1,317.9596667,72.8021667,208.0,,,,,,none,galaxy candidate,inconclusive,Only low-quality WISExSCOS-grade photo-z about 0.0835; PS1 colour is outside the Taylor mass calibration,,false,v4-extension-2026-07-15,discovery population rebuild,NED+PS1 manual adjudication
phineas,cluster,WHL J115048.0+714428,FRB 20230307A,0.271,WHL12/NED/Legacy,177.69998,71.74124,614.3,,,,0.1893,,WHL12/NED,cluster,confirmed,WHL12 cluster redshift below host; absent from WenHan2024 and lacks adopted M500 and R500,,false,v4-extension-2026-07-15,legacy discovery phineas_galaxies.csv,WHL12+NED+Legacy manual adjudication
