nickname,tns,obj,z,ps1_g,ps1_i,ps1_sep,logM_ps1,w1,w2,w1_w2,wise_agn,logM_wise,verdict,logM_adj
zach,FRB 20220207C,195373100910393540,0.4694,,,,,16.607999801635742,17.267000198364258,-0.6590003967285156,False,13.021826728500033,reject(wise_implausible_noPS1),
whitney,FRB 20220310F,1472,0.5551,,20.853,0.1137507578399721,,16.725000381469727,16.825000762939453,-0.1000003814697265,False,11.729661944595572,reject(wise_implausible_noPS1),
whitney,FRB 20220310F,1582,0.4712,,,,,16.725000381469727,16.825000762939453,-0.1000003814697265,False,11.559127281524152,weak(wise_only),11.559127281524152
whitney,FRB 20220310F,196191347354360083,0.5551,,20.853,0.0076121997696624,,16.725000381469727,16.825000762939453,-0.1000003814697265,False,11.729661944595572,reject(wise_implausible_noPS1),
oran,FRB 20220506D,195393180643665627,0.3005,,,,,16.770000457763672,17.41699981689453,-0.6469993591308594,False,12.472649647251355,reject(wise_implausible_noPS1),
wilhelm,FRB 20221203A,194453151328186646,0.51,,20.8757,0.0336383340376372,,17.69700050354004,18.274999618530273,-0.5779991149902344,False,12.46656414570996,reject(wise_implausible_noPS1),
chromatica,FRB 20240203A,196723126173351736,0.4751,20.57,19.0585,1.468632412060456,11.46231017248979,15.8100004196167,15.640999794006348,0.1690006256103515,False,11.250398415592818,reliable(agree),11.46231017248979
casey,FRB 20240229A,660,0.3727,,20.4967,0.0108104951389794,,14.777999877929688,14.614999771118164,0.1630001068115234,False,11.429241965084271,weak(wise_only),11.429241965084271
