id,ra,dec,z_helio,z_helio_err,z_pec,z_pec_err,z_cmb,z_cmb_err,d_L,d_L_err,z,z_phot_err,z_best_err,M_B,M_B_err,M_K,M_K_err,M_star,M_star_err,p_pec,z_prior,p_lum,p_vol,catalog,impact_kpc,gmag,imag,ps1_sep_arcsec
8001614240001037,312.607421319082,73.896796245084,,,,,0.076387,0.015,357.653,77.564,0.076387,0.015,0.015,-19.169,0.852,-22.846,0.855,9.544,0.342,0.923,0.076387,0.485,0.485,VII/291/glade,53.25032549303531,,,
8001614240001046,312.628867451457,73.897371973167,,,,,0.076387,0.015,357.653,77.564,0.076387,0.015,0.015,-18.257,0.835,-21.902,0.839,9.167,0.336,0.932,0.076387,0.485,0.485,VII/291/glade,73.07827827828062,,,
