GLADE+,PGC,GWGC,HyperLEDA,2MASS,WISExSCOS,SDSS-DR16Q,Type,ra,dec,Bmag,f_Bmag,BMAG,Jmag,Hmag,Kmag,W1mag,W2mag,f_W1mag,Bjmag,zhelio,zcmb,f_zcmb,dL,f_dL,M*,f_M*,logRate,catalog,z,M_star,mass_source,impact_kpc,gmag,imag,ps1_sep_arcsec
6675922,,-,-,-,J044538.83+701843.3,-,G,71.411807,70.312048,17.83875,1,-18.853,,,,15.068,14.914,0,17.445999,0.047889002,0.047488851637813,1,217.945263,1,0.3,1.0,3.7,VII/291/gladep,0.047488851637813,9.477121254719664,catalog,16.17953810256848,,,
6875108,,-,-,-,J045512.13+695819.2,-,G,73.800557,69.972019,18.849631,1,-9.38555,,,,16.924,16.787001,0,18.469999,0.00026599999,0.001000493091427,1,4.436451,1,,,,VII/291/gladep,0.001000493091427,,catalog,67.86929316196718,19.3901,18.6798,1.344009313042532
