arc_path,arc_basename,burst_nickname_guess,iacobus_match,notes
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/oran_I_396_882_32000b.npy,oran_I_396_882_32000b.npy,oran,oran_220506aabd,nickname oran ↔ 1 iacobus entry/entries; TNS date code 220506; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/oran_I_397_0153_32000b.npy,oran_I_397_0153_32000b.npy,oran,oran_220506aabd,nickname oran ↔ 1 iacobus entry/entries; TNS date code 220506; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/oran_chime_I_396_882_32000b_cntr_bpc.npy,oran_chime_I_396_882_32000b_cntr_bpc.npy,oran,oran_220506aabd,nickname oran ↔ 1 iacobus entry/entries; TNS date code 220506; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/oran_chime_I_397_0153_32000b_cntr_bpc.npy,oran_chime_I_397_0153_32000b_cntr_bpc.npy,oran,oran_220506aabd,nickname oran ↔ 1 iacobus entry/entries; TNS date code 220506; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/phineas_I_610_274_32000b.npy,phineas_I_610_274_32000b.npy,phineas,phineas_0_5121.npy; phineas_230307aaao,nickname phineas ↔ 2 iacobus entry/entries; TNS date code 230307; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/phineas_I_610_2894_32000b.npy,phineas_I_610_2894_32000b.npy,phineas,phineas_0_5121.npy; phineas_230307aaao,nickname phineas ↔ 2 iacobus entry/entries; TNS date code 230307; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/phineas_chime_I_610_274_32000b_cntr_bpc.npy,phineas_chime_I_610_274_32000b_cntr_bpc.npy,phineas,phineas_0_5121.npy; phineas_230307aaao,nickname phineas ↔ 2 iacobus entry/entries; TNS date code 230307; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/phineas_chime_I_610_2894_32000b_cntr_bpc.npy,phineas_chime_I_610_2894_32000b_cntr_bpc.npy,phineas,phineas_0_5121.npy; phineas_230307aaao,nickname phineas ↔ 2 iacobus entry/entries; TNS date code 230307; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/whitney_I_462_174_32000b.npy,whitney_I_462_174_32000b.npy,whitney,whitney_220310aaam,nickname whitney ↔ 1 iacobus entry/entries; TNS date code 220310; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/whitney_I_462_1891_32000b.npy,whitney_I_462_1891_32000b.npy,whitney,whitney_220310aaam,nickname whitney ↔ 1 iacobus entry/entries; TNS date code 220310; namespace differs from arc _chime_I_ fit naming
