name,TNS,MJD,Localization,z_spectroscopic,Localization,RA_deg,Dec_deg,z_spectroscopic,gamma_1.4GHz_MHz,gamma_1.4GHz_err_MHz,gamma_1.4GHz_NE2001_MHz,tau_1GHz_ms,tau_1GHz_std_ms
IGC,"J085808.2+731234, 1161367","DESI, WISE (Wen et al. 2024)",,,5689.99,134.53415,73.20953,0.3975,0.591,12.1,0.56,11,
,,,,,,,,,,,,,
oran,obj_ID,Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,class,p_gal,,,
,195393180643665627,"WISE, PS1, STRM",,,73.87442415,318.0644375,72.82904878,0.198661474,GALAXY,0.87636614,,,
,,,,,,,,,,,,,
isha,None,None,,,None,None,None,None,None,None,None,,
,,,,,,,,,,,,,
wilhelm,obj_ID,Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,class,prob_gal,prob_star,prob_qso,
IGH,194453151328186646,"WISE, PS1, STRM",,,231.9569389,315.1329059,72.04657361,0.64319044,GALAXY,0.90788466,0.0726387,0.019476606,
,,,,,,,,,,,,,
phineas,obj_ID,Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,class,prob_gal,prob_star,prob_qso,Note: this is the only source visible in SDSS DR13
IGH,832,Legacy DR8 (Zhou et al. 2021),,,158.8077832,177.7635672,71.68486398,0.21739762,DEV,,,,
IGH,953,Legacy DR8 (Zhou et al. 2021),,,242.6733413,177.8314024,71.69336919,0.26768085,REX,,,,
IGH,983,Legacy DR8 (Zhou et al. 2021),,,122.2053697,177.8163208,71.69501131,0.17635022,EXP,,,,Also in SDSS
IGH,986,Legacy DR8 (Zhou et al. 2021),,,203.4146534,177.7309593,71.69534656,0.21239159,REX,,,,
IGH,1072,Legacy DR8 (Zhou et al. 2021),,,105.2420454,177.7704447,71.70050655,0.33110702,EXP,"might be closer? check Sloan Digital Sky Surveys (SDSS), Release 16 (DR16) (Ahumada+, 2020)",,,
IGH,1153,Legacy DR8 (Zhou et al. 2021),,,135.7804637,177.7780541,71.70559219,0.22799593,REX,,,,
IGH,1190,Legacy DR8 (Zhou et al. 2021),,,121.121305,177.7811216,71.70977541,0.12906177,DEV,,,,
IGH,194021777634832653,"WISE, PS1, STRM",,,130.6151308,177.7635678,71.68486803,0.16977255,GALAXY,0.9664329,0.028281566,0.005285486,
IGH,194031778315722893,"WISE, PS1, STRM",,,195.8907761,177.8313746,7.17E+01,0.20139003,GALAXY,0.9982816,8.64E-05,0.0016319678,
IGH,194041777780157594,"WISE, PS1, STRM",,,111.8071745,177.7780675,71.70558959,0.17780937,GALAXY,0.99739957,0.001632411,0.00096813584,
IGH,194051777813062524,"WISE, PS1, STRM",,,101.7444295,177.7811322,71.70977418,0.10554664,GALAXY,0.99858606,0.0011536868,0.00026021377,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
phineas,"obj_name, obj_ID",Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,r500_Mpc,lam500_richness,M500_1e14Msun,Number_of_Galaxies,
IGC,"J115120.4+714435, 1254337","DESI, WISE (Wen et al. 2024)",,,603.64,177.83488,71.74319,0.1938,0.729,32.69,1.48,14,
IGC,"J115128.2+713637, 1254415","DESI, WISE (Wen et al. 2024)",,,1054.68,177.86761,71.61024,0.1897,0.841,41.57,1.86,32,
IGC,"J114944.0+714348, 1253496","DESI, WISE (Wen et al. 2024)",,,1569.18,177.4332,71.7301,0.2309,0.531,11.21,0.52,6,
IGC,"J115140.5+712732, 1254506","DESI, WISE (Wen et al. 2024)",,,2104.65,177.91873,71.45892,0.1322,0.633,20.42,0.93,11,
IGC,"J115400.9+713320, 1255773","DESI, WISE (Wen et al. 2024)",,,3060.14,178.50381,71.55566,0.1832,0.563,10.87,0.51,6,
IGC,"J115031.4+715735, 1253898","DESI, WISE (Wen et al. 2024)",,,4272.76,177.63068,71.95965,0.2841,0.698,27.48,1.25,16,
IGC,"J115436.9+713930, 1256077","DESI, WISE (Wen et al. 2024)",,,3989.83,178.65378,71.65822,0.2472,0.56,10.09,0.47,9,
IGC,"J114928.5+712526, 1253366","DESI, WISE (Wen et al. 2024)",,,3049.59,177.36887,71.42403,0.1574,0.771,33.42,1.51,27,
,,,,,,,,,,,,,
freya,obj_ID,Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,class,prob_gal,prob_star,prob_qso,
IGH,197030881733398302,"WISE, PS1, STRM",,,60.11015996,88.1729787,74.19784041,0.20186801,GALAXY,0.93442523,0.045681626,0.019893192,
IGH,197040882212782495,"WISE, PS1, STRM",,,233.8911738,88.22143337,74.20135627,0.64352965,GALAXY,0.99958915,0.00017510756,0.00023575165,
,,,,,,,,,,,,,
johndoeII,None,None,,,None,None,None,None,None,None,None,,
,,,,,,,,,,,,,
hamilton,obj_ID,Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,class,prob_gal,prob_star,prob_qso,
IGH,192943050854547067,"WISE, PS1, STRM",,,209.1635874,305.0853736,70.78860842,0.21027125,GALAXY,0.83771545,0.004704359,0.15758017,
IGH,192963050359413614,"WISE, PS1, STRM",,,136.1447141,305.0361763,70.80240538,0.24035172,GALAXY,0.98747444,0.00034273998,0.012182749,
,,,,,,,,,,,,,
mahi,None,None,,,None,None,None,None,None,None,None,,
,,,,,,,,,,,,,
chromatica,obj_ID,Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,class,prob_gal,prob_star,prob_qso,
IGH,196673126794497004,"WISE, PS1, STRM",,,111.0598602,312.6793509,73.89686576,0.09462511,GALAXY,0.93143016,0.014137173,0.054432653,
IGH,196723126173351736,"WISE, PS1, STRM",,,103.464688,312.6173096,73.93405297,0.041308902,GALAXY,0.9897199,7.63E-05,0.01020368,
IGH,196733128040225775,"WISE, PS1, STRM",,,228.0968735,312.8039777,73.94584168,0.045353893,GALAXY,0.98085344,0.00846597,0.010680515,
,,,,,,,,,,,,,
casey,obj_ID,Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,class,prob_gal,prob_star,prob_qso,
