nickname,type,obj,tns,host_z_spec,survey,ra_deg,dec_deg,impact_kpc,b_over_r500,best_z,best_z_err,best_z_source,classification,final_verdict,final_reason,registry_tier,budget_eligible,provenance_scratch_final,provenance_scratch_geometry,provenance_scratch_validation
phineas,halo,953,FRB 20230307A,0.271,Legacy/Zhou21,177.8314024,71.69336919,242.7,,0.1991,0.0,DESI spec,REX,confirmed,desi_specz vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,983,FRB 20230307A,0.271,Legacy/Zhou21,177.8163208,71.69501131,122.2,,0.1649,0.0585,LS/Zhou phot,EXP,confirmed,lsdr9_zphot vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,986,FRB 20230307A,0.271,Legacy/Zhou21,177.7309593,71.69534656,203.4,,0.2082,0.0667,LS/Zhou phot,REX,inconclusive,photo-z within 1sigma of host (Legacy/Zhou DR9),False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,1072,FRB 20230307A,0.271,Legacy/Zhou21,177.7704447,71.70050655,105.2,,0.2996,0.0793,LS/Zhou phot,EXP,inconclusive,photo-z within 1sigma of host (Legacy/Zhou DR9),False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,1153,FRB 20230307A,0.271,Legacy/Zhou21,177.7780541,71.70559219,135.8,,0.2146,0.0,DESI spec,REX,confirmed,desi_specz vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,1190,FRB 20230307A,0.271,Legacy/Zhou21,177.7811216,71.70977541,121.1,,0.1096,0.0,DESI spec,DEV,confirmed,desi_specz vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,194021777634832653,FRB 20230307A,0.271,WISE/PS1/STRM,177.7635678,71.68486803,130.6,,0.1925,0.0284,LS/Zhou phot,DEV,confirmed,lsdr9_zphot vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,194031778315722893,FRB 20230307A,0.271,WISE/PS1/STRM,177.8313746,71.7,195.9,,0.8841,0.1155,LS/Zhou phot,REX,refuted,lsdr9_zphot vs host z,False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,194041777780157594,FRB 20230307A,0.271,WISE/PS1/STRM,177.7780675,71.70558959,111.8,,0.2146,0.0,DESI spec,REX,confirmed,desi_specz vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,halo,194051777813062524,FRB 20230307A,0.271,WISE/PS1/STRM,177.7811322,71.70977418,101.7,,0.1096,0.0,DESI spec,DEV,confirmed,desi_specz vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,cluster,"J115120.4+714435, 1254337",FRB 20230307A,0.271,DESI/WISE (Wen+),177.83488,71.74319,603.6,0.83,0.2,0.0001,DESI spec,cluster,confirmed,desi_specz vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,cluster,"J115128.2+713637, 1254415",FRB 20230307A,0.271,DESI/WISE (Wen+),177.86761,71.61024,1054.7,1.25,0.1916,0.0001,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,cluster,"J114944.0+714348, 1253496",FRB 20230307A,0.271,DESI/WISE (Wen+),177.4332,71.7301,1569.2,2.96,0.244,0.0,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,cluster,"J115140.5+712732, 1254506",FRB 20230307A,0.271,DESI/WISE (Wen+),177.91873,71.45892,2104.7,3.32,0.1758,0.0001,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,cluster,"J115400.9+713320, 1255773",FRB 20230307A,0.271,DESI/WISE (Wen+),178.50381,71.55566,3060.1,5.44,0.1549,0.0,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,cluster,"J115031.4+715735, 1253898",FRB 20230307A,0.271,DESI/WISE (Wen+),177.63068,71.95965,4272.8,6.12,0.2696,0.0001,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,cluster,"J115436.9+713930, 1256077",FRB 20230307A,0.271,DESI/WISE (Wen+),178.65378,71.65822,3989.8,7.12,0.2628,0.0001,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
phineas,cluster,"J114928.5+712526, 1253366",FRB 20230307A,0.271,DESI/WISE (Wen+),177.36887,71.42403,3049.6,3.96,-0.0001,0.0,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
freya,halo,197030881733398302,FRB 20230325A,,WISE/PS1/STRM,88.1729787,74.19784041,60.1,,0.3047,0.068,PS1-STRM phot,GALAXY,inconclusive,inconclusive-host-z-unknown,False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
freya,halo,197040882212782495,FRB 20230325A,,WISE/PS1/STRM,88.22143337,74.20135627,233.9,,0.6175,0.1255,PS1-STRM phot,GALAXY,inconclusive,inconclusive-host-z-unknown,False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
hamilton,halo,192943050854547067,FRB 20230913A,0.3024,WISE/PS1/STRM,305.0853736,70.78860842,209.2,,,,PS1-STRM,UNSURE,inconclusive,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.61)",False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
hamilton,halo,192963050359413614,FRB 20230913A,0.3024,WISE/PS1/STRM,305.0361763,70.80240538,136.1,,0.3079,0.0727,PS1-STRM phot,GALAXY,inconclusive,inconclusive-borderline (within 1 sigma of host),False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
chromatica,halo,196673126794497004,FRB 20240203A,0.074,WISE/PS1/STRM,312.6793509,73.89686576,111.1,,,,PS1-STRM,UNSURE,inconclusive,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.69)",False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
chromatica,halo,196723126173351736,FRB 20240203A,0.074,WISE/PS1/STRM,312.6173096,73.93405297,103.5,,0.4751,0.0438,PS1-STRM phot,GALAXY,inconclusive,inconclusive-extrapolated-photoz (STRM photo-z outside training coverage),False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
chromatica,halo,196733128040225775,FRB 20240203A,0.074,WISE/PS1/STRM,312.8039777,73.94584168,228.1,,0.0543,,NED,galaxy,confirmed,ned_z vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,192821699728654764,FRB 20240229A,0.287,WISE/PS1/STRM,169.9727442,70.68666126,206.4,,0.3747,0.0491,LS/Zhou phot,REX,refuted,lsdr9_zphot vs host z,False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,192821700026167542,FRB 20240229A,0.287,WISE/PS1/STRM,170.002558,70.68897047,170.6,,0.2028,0.0001,DESI spec,SER,confirmed,desi_specz vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,192831699797402822,FRB 20240229A,0.287,WISE/PS1/STRM,169.9798302,70.69339484,220.7,,0.2398,0.012,LS/Zhou phot,SER,confirmed,lsdr9_zphot vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,660,FRB 20240229A,0.287,Legacy/Zhou21,169.9853195,70.67629673,12.2,,0.3727,0.067,LS/Zhou phot,REX,refuted,lsdr9_zphot vs host z,False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,795,FRB 20240229A,0.287,Legacy/Zhou21,169.97277,70.68665467,225.4,,0.3747,0.0491,LS/Zhou phot,REX,refuted,lsdr9_zphot vs host z,False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,796,FRB 20240229A,0.287,Legacy/Zhou21,169.976151,70.6861149,212.2,,0.4217,0.0953,LS/Zhou phot,REX,refuted,lsdr9_zphot vs host z,False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,827,FRB 20240229A,0.287,Legacy/Zhou21,169.97983,70.69339832,237.2,,0.2398,0.012,LS/Zhou phot,SER,confirmed,lsdr9_zphot vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,824,FRB 20240229A,0.287,Legacy/Zhou21,170.0025556,70.68896879,178.3,,0.2028,0.0001,DESI spec,SER,confirmed,desi_specz vs host z,True,True,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,halo,825,FRB 20240229A,0.287,Legacy/Zhou21,170.0000823,70.69033887,281.4,,0.3483,0.2031,LS/Zhou phot,REX,inconclusive,photo-z within 1sigma of host (Legacy/Zhou DR9),False,False,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,cluster,"J111929.5+705441, 1237905",FRB 20240229A,0.287,DESI/WISE (Wen+),169.87289,70.91131,3133.0,4.09,0.2162,0.0001,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,cluster,"J112235.5+705438, 1239515",FRB 20240229A,0.287,DESI/WISE (Wen+),170.6479,70.91058,4284.7,7.89,0.2158,0.0,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,cluster,"J112350.9+704142, 1240175",FRB 20240229A,0.287,DESI/WISE (Wen+),170.96191,70.69499,4267.4,5.03,0.2133,0.0,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
casey,cluster,"J111930.9+702041, 1237924",FRB 20240229A,0.287,DESI/WISE (Wen+),169.87859,70.34475,3804.0,6.32,0.0907,0.0,DESI spec,cluster,confirmed,desi_specz vs host z,True,False,foreground_final.csv,foreground.csv,foreground_validated.csv
